source_url,quote
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Shockingly, Tom still announces his pride in building the Oro Jackson, which doesn't help his case. When Franky rejects his ""Battle Frankies"" for attacking Water 7, Tom makes a violent scene and chastises him for denying his creations. He tells him that a ship is a ship and to always be proud of what he makes, regardless of how succeeding owners use it."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Even though she is already on the last legs, Going Merry comes to the Straw Hats' aid one last time. She asks Iceberg to repair her enough to make the journey to Enies Lobby and arrives just as the Straw Hats are about to fall to the Marines."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Though she whisks them away, Merry starts to fall apart beneath them before they return to Water 7. With help from the Franky Gang and Galley-La members, the Straw Hats give Merry a final farewell and honorable burial at sea. The Straw Hats are all clearly emotional or on the verge of sobbing as they watch their precious ship burn."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Gecko Moria isn't the most sympathetic character, which his trap for passersby in Thriller Bark and his partnership with Dr. Hogback shows. Still, the anime manages some shred of sympathy and understanding for his character when his backstory is shared. In the past, Moria led the Gecko Pirates. They were all loyal to him, and he cared about them."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"That changed when Moria's crew met Kaido. He slaughtered them all, taking away both Moria's underlings and friends. From that point on, Moria resolved only to use zombies as his allies to prevent the same emotional heartbreak from occurring."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"After everything Luffy goes through to rescue his brother, he finally manages to break into Marineford with a slew of allies. Ace is successfully released and on the verge of escaping when Admiral Akainu starts badmouthing Whitebeard. The wisest course of action would be to ignore the playground insults and continue to leave, which is what Luffy encourages."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,RELATED: One Piece: Ace's 10 Best Quotes
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"However, Ace's love for his mentor and father figure is too strong. With the staunch and heated declaration that the era belongs to Whitebeard, Ace is frustratingly baited into fighting Akainu and then putting himself in harm's way to save Luffy. His death is horrifying, but more annoyingly, caused by love."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Fish-Man Island has a bloody past for its royalty. Queen Otohime, aware of the strong discrimination between Fish-Men and humans, lobbied for peace and understanding between the two. While her intentions and principles were honorable, Otohime was killed by Hody Jones . Hody hated humans and framed one for her death to ensure the mutual enmity continued."
https://www.cbr.com/times-love-destroyed-one-piece-heroes/,"Deeply aggrieved at his beloved wife's murder, Neptune kept himself locked away to mourn Otohime. It also kept him in check since he admitted that Otohime's death made him want to kill humans, the same species as her supposed murderer."
