source_url,quote
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""If you're lonely, you should say something! If you're worried, say something! Most people aren't as sharp as you are! If you want those people to understand you, you should say something! Even if you're worried that you'll embarrass yourself, you should still say something!"""
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""I am who I am now because of my past. Calling any choice I made a mistake would be calling who I am now a mistake."""
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""Even if I’m not perfect… even if I’m not the ideal me… he says that I’m still my own person. The point of life isn’t to be perfect. It’s to do want you want to do, to be who you want to be. That’s how I should be trying to live."""
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""Don’t forget that kindness can hurt people too."""
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""After spending most of my life trying to live as someone else wanted, I’d apparently forgotten who I was."""
https://www.ranker.com/list/best-kokoro-connect-quotes/ranker-anime,"""You can never tell what'll happen next in life. But so long as you have faith in your feet, the road you walk will be a part of you."""
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,Vote up the best quotes from One Piece .
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"With over 700 episodes under its belt, you better believe that there are some seriously epic One Piece quotes. We've taken a look at some of the best One Piece moments , and extracted sayings, phrases, and one liners that really impacted those scenes. From Whitebeard's speech as he’s about to die - “On his proud back, or in his whole pirate life, there is no scar he got while running away!” to Zoro’s “Not even Death himself can take my life away!"" - these are some of the most awesome moments from the anime so far."
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"Almost every character in One Piece has at least one memorable line, but these ones really stand out as either inspirational quotes that changed the story, or motivational quotes that really shaped a character into who they became. Our heroes, like Luffy, Law, and Nico Robin all have inspiring quotes, but there are also villains on this list as well. Donquixote Doflamingo is by no means a hero but his speech is still one of the best anime speeches of all time."
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,Vote for your favorite One Piece quotes below.
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"1 Challenge The Whole World to a Fight Photo: Toei Animation Whitebeard: ""It's not you. The man Roger is waiting for, at the very least, Teach, it's definitely not you. Just like there are those who carry on Roger's will, I'm sure someone will appear to carry on Ace's will someday. Even if you extinguish his bloodline, there's no way that their flame will ever burn out. It has been passed downsince ancient times. And in the future, someday, someone will appear, carrying the history of all those decades on his back, and challenge this whole world to a fight. Sengoku, you guys in the World Government, all fear that immense battle engulfing the whole world that will eventually come. I don't care myself, but as soon as someone finds that great treasure, the entire world will be turned upside down. And someone will find it. That day will definitely come sooner or later. One Piece does exist!"" 448 votes Great quote?"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"2 There Is No Scar That He Got While Running Away Photo: YouTube Narrator: ""Although he's dead, his body doesn't collapse! And the way he mowed down enemies with wounds all over his body was certainly monstrous. The number of sword wounds he received in this war is indeed two hundred sixty-seven. The number of gun wounds: one hundred and fifty-two! And he was shot by a cannon forty-six times! Yet, on his proud back, or in his whole pirate life, there is no scar he got while running away!"" 386 votes Great quote?"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"Narrator: ""Although he's dead, his body doesn't collapse! And the way he mowed down enemies with wounds all over his body was certainly monstrous. The number of sword wounds he received in this war is indeed two hundred sixty-seven. The number of gun wounds: one hundred and fifty-two! And he was shot by a cannon forty-six times! Yet, on his proud back, or in his whole pirate life, there is no scar he got while running away!"""
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"3 Not Even Death Photo: Toei Animation Zoro: ""There is someone that I must meet again. And until that day… not even Death himself can take my life away!"" 413 votes Great quote?"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"Zoro: ""There is someone that I must meet again. And until that day… not even Death himself can take my life away!"""
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"4 Bet on the New Age Photo: Toei Animation Whitebeard: When a man such as you comes back from the East Blue without an arm, anyone would be surprised. To what kind of enemy did you give it? That left arm. Shanks: This...I made a bet, on the new age. 295 votes Great quote?"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"5 The Ones Before You Are Pirates Photo: Toei Animation Shanks (with gun pointed to this head) - Risk your life on it. Bandit #1 - What? Shanks - With that pistol, you risk your life. Bandit #1 - What the hell are you talking about? Shanks - This isn't a child's game. Lucky Roo fatally shoots the bandit in the head Bandit #2 - You killed him! Bandit #3 - What unfair bastards! Benn Beckman - Unfair? Don't be so naive. You are not fighting against holy men. Shanks - The ones before you are pirates. Bandit #2 - Shut up! We don't have any business with you! Shanks - Listen, bandits. I can have food or drinks spilled on me, or even be spit at and I'll laugh about it. However, if for any reason you hurt a friend of mine...I won't forgive you! 359 votes Great quote?"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,"Shanks (with gun pointed to this head) - Risk your life on it. Bandit #1 - What? Shanks - With that pistol, you risk your life. Bandit #1 - What the hell are you talking about? Shanks - This isn't a child's game. Lucky Roo fatally shoots the bandit in the head Bandit #2 - You killed him! Bandit #3 - What unfair bastards! Benn Beckman - Unfair? Don't be so naive. You are not fighting against holy men. Shanks - The ones before you are pirates. Bandit #2 - Shut up! We don't have any business with you! Shanks - Listen, bandits. I can have food or drinks spilled on me, or even be spit at and I'll laugh about it. However, if for any reason you hurt a friend of mine...I won't forgive you!"
https://www.ranker.com/list/best-one-piece-quotes/ranker-anime,6 Have You Ever Seen a Pirate Laughing on the Execution Stand? Photo: YouTube Smoker: “Why was he laughing? Did he know that he would survive? No. That's impossible. He realized that he would end his life here. He admitted the truth that he would die and laughed. Have you ever seen a pirate laughing on the execution stand?” 305 votes Great quote?
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"“Stop pitying yourself. Pity yourself, and life becomes an endless nightmare.”"
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"""Being alone is better than being with the wrong person."""
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"""How can you move forward if you keep regretting the past?"""
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"""Whether a fish lives in a clear stream or a water ditch, so long as it continues swimming forward, it will grow up beautifully."""
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"“If you feel yourself hitting up against your limit, remember for what cause you clench your fists! Remember why you started down this path, and let that memory carry you beyond your limit.”"
https://www.ranker.com/list/inspirational-anime-quotes/anna-lindwasser,"""Fear is not evil. It tells you what your weakness is. And once you know your weakness, you can become stronger, as well as kinder."""
https://animemotivation.com/one-piece-quotes/,One Piece characters mentioned in this post:
https://animemotivation.com/one-piece-quotes/,And plenty more names you’ll recognize as a fan of One Piece .
https://animemotivation.com/one-piece-quotes/,"Each quote will give you something to walk away with. Whether it be inspiration, humour, or something else that will make your day."
https://animemotivation.com/one-piece-quotes/,Now that’s out of the way…
https://animemotivation.com/one-piece-quotes/,"“It may be hard right now… But you must silence those thoughts! Stop counting only those things that you have lost! What is gone, is gone!” – Jinbei"
https://animemotivation.com/one-piece-quotes/,“Loneliness” is no longer part of my vocabulary.” – Brook
https://animemotivation.com/one-piece-quotes/,“Death is never an apology.” – Brook
https://animemotivation.com/one-piece-quotes/,"“What do you know of death? Have you ever died? You think death will preserve your cause forever?Ridiculous! Death leaves nothing behind! Once a person passes on, nothing remains but dead bones. If there is one thing I can’t stand, it is a person with no respect for life.” – Brook"
https://animemotivation.com/one-piece-quotes/,"“If you lose credibility by just admitting fault, then you didn’t have any in the first place.” – Fujitora"
https://animemotivation.com/one-piece-quotes/,"“If I die here, then I’m a man that could only make it this far.” – Roronoa Zoro"
https://animemotivation.com/one-piece-quotes/,“You need to accept the fact that you’re not the best and have all the will to strive to be better than anyone you face.” – Roronoa Zoro
